0;17/03/2019 15:04;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;eng;;281;4;80;bull dyke;bull dykes;;17/03/2019 15:04;;ndGyZCRqn,,,,,,,,,,
0;17/03/2019 15:03;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;eng;;622;4;156;;bull dyke;;17/03/2019 15:03;dyke;E6LKcHRUw,,,,,,,,,,
0;17/03/2019 15:00;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;eng;;0;0;0;;lavender mafia;;17/03/2019 15:02;gay mafia;TM7JUnRiV,,,,,,,,,,
25;17/03/2019 15:00;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;eng;;12;0;10;;velvet mafia;;17/03/2019 15:00;gay mafia;soQexlvax,,,,,,,,,,
0;17/03/2019 14:58;An alleged conspiracy of homosexuals to promote a gay agenda;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;eng;;86;1;63;;gay mafia;;17/03/2019 14:58;;EQJnNXBjY,,,,,,,,,,
0;17/03/2019 14:57;An alleged conspiracy of homosexuals to promote a gay agenda;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;eng;;7;0;3;;Homintern;;17/03/2019 14:57;;istxJxyzY,,,,,,,,,,
0;17/03/2019 14:52;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;BZ;eng;;0;0;0;batiman;batimen;;17/03/2019 14:52;;ps1VLHGJU,,,,,,,,,,
0;17/03/2019 14:51;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;BZ;eng;;18;0;5;;batiman;;17/03/2019 14:51;batty boy;Zqpx34uuy,,,,,,,,,,
0;17/03/2019 14:50;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;BZ;eng;;75;0;21;battyman;battymen;;17/03/2019 14:50;;DmwDfmhEy,,,,,,,,,,
0;17/03/2019 14:49;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;BZ;eng;;224;9;109;;battyman;;17/03/2019 14:49;batty boy;RfgtBiyV7,,,,,,,,,,
0;17/03/2019 14:47;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;JM;eng;;0;0;0;chi chi bwoy;chi chi bwoys;;17/03/2019 14:47;;HjXaHzvKx,,,,,,,,,,
0;17/03/2019 14:46;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;JM;eng;;19;0;6;;chi chi bwoy;;17/03/2019 14:46;chi chi man;odcpPiArg,,,,,,,,,,
0;17/03/2019 14:44;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;eng;;2;0;0;chi chi man;chi chi men;;17/03/2019 14:45;;GUpfxMve8,,,,,,,,,,
0;17/03/2019 14:43;Homosexual;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;eng;;10;0;3;;chi chi man;;17/03/2019 14:43;;ipabGpGnp,,,,,,,,,,
0;17/03/2019 14:40;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;JM;eng;;18;0;3;batty man;batty men;;17/03/2019 14:40;;nVHW1WCRC,,,,,,,,,,
0;17/03/2019 14:39;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;JM;eng;;203;5;92;;batty man;;17/03/2019 14:40;batty boy;aabpvxHAi,,,,,,,,,,
0;17/03/2019 14:38;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;JM;eng;;20;0;3;batty bwoy;batty bwoys;;17/03/2019 14:39;;ocPEJhfYN,,,,,,,,,,
0;17/03/2019 14:38;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;JM;eng;;121;2;37;;batty bwoy;;17/03/2019 14:38;batty boy;rfw4vpVsQ,,,,,,,,,,
0;17/03/2019 14:37;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;JM;eng;;161;1;54;batty boy;batty boys;;17/03/2019 14:37;;LidEmeroa,,,,,,,,,,
0;17/03/2019 14:36;A gay or effeminate man;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;JM;eng;One who defies gender or machismo;324;2;89;;batty boy;;17/03/2019 14:36;;NxEfddMfB,,,,,,,,,,
0;11/03/2019 00:26;;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;;eng;;0;0;0;papisher;papishers;;11/03/2019 00:26;;QsnaAMAfZ,,,,,,,,,,
0;11/03/2019 00:25;;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;;eng;;0;0;0;;papisher;;11/03/2019 00:25;papist;GmKWWPRUF,,,,,,,,,,
0;28/02/2019 20:35;;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;0;0;0;gingette;gingettes;;01/03/2019 21:06;ginger;UqkkPYoJi,,,,,,,,,,
0;28/02/2019 20:35;;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;0;0;0;;gingette;;01/03/2019 21:06;ginger;ugngmeteR,,,,,,,,,,
0;28/02/2019 20:20;;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;35;0;4;good goy;good goys;;01/03/2019 21:05;;uQcehfnto,,,,,,,,,,
75;28/02/2019 20:10;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;eng;;244;0;81;ghey;gheys;;01/03/2019 21:05;gay;KuEJLKbKi,,,,,,,,,,
0;28/02/2019 20:06;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;eng;;124;0;51;fruity;fruities;;01/03/2019 21:05;fruit;bcQKDmfhP,,,,,,,,,,
0;28/02/2019 20:01;;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;;eng;;1;0;0;flipette;flipettes;;01/03/2019 21:05;flip;bfbyyhnw2,,,,,,,,,,
0;28/02/2019 20:00;;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;;eng;;1;0;0;;flipette;;01/03/2019 21:04;flip;t8KvyckoK,,,,,,,,,,
0;28/02/2019 19:59;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;eng;;0;0;0;fagdick;fagdicks;;01/03/2019 21:04;fag;JJoXagZze,,,,,,,,,,
0;28/02/2019 19:58;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;eng;;0;0;0;;fagdick;;01/03/2019 21:04;fag;BftZArVwg,,,,,,,,,,
0;28/02/2019 19:57;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;eng;;0;0;0;fagshit;fagshits;;01/03/2019 21:04;fag;d7AETN2ea,,,,,,,,,,
100;28/02/2019 19:57;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;eng;;15;0;7;;fagshit;;01/03/2019 21:04;fag;fBWtbPTRV,,,,,,,,,,
0;28/02/2019 19:55;;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;;eng;;0;0;0;dinklady;dinkladies;;01/03/2019 21:03;dink;uqubfbadd,,,,,,,,,,
0;28/02/2019 19:54;;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;;eng;;0;0;0;;dinklady;;01/03/2019 21:03;dink;oKPAVejDv,,,,,,,,,,
0;28/02/2019 19:52;;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;;eng;;14;0;2;durka durka;durka durkas;;01/03/2019 21:03;derka derka;XfyXhcwTY,,,,,,,,,,
0;28/02/2019 19:52;;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;;eng;;39;0;9;;durka durka;;01/03/2019 21:03;derka derka;AYsdMFEPc,,,,,,,,,,
0;28/02/2019 19:51;;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;;eng;;3;0;2;derka derka;derka derkas;;01/03/2019 21:02;;XTqrx9beD,,,,,,,,,,
0;28/02/2019 19:49;;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;;eng;;0;0;0;degette;degettes;;01/03/2019 21:02;dago;YAvHYAFWX,,,,,,,,,,
0;28/02/2019 19:48;;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;;eng;;3;0;0;;degette;;01/03/2019 21:02;dago;seb9DZmwV,,,,,,,,,,
0;28/02/2019 19:46;;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;;eng;;0;0;0;dagette;dagettes;;01/03/2019 21:02;dago;K9ZDERQ7W,,,,,,,,,,
0;28/02/2019 19:45;;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;0;0;0;;dagette;;01/03/2019 21:02;dago;m8XvLiDiG,,,,,,,,,,
0;28/02/2019 19:39;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;;eng;;17;0;13;closet dyke;closet dykes;;01/03/2019 20:59;closet fag;rTiXRYQED,,,,,,,,,,
50;28/02/2019 19:39;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;;eng;;34;0;7;;closet dyke;;01/03/2019 20:59;closet fag;uWzcbfz7a,,,,,,,,,,
0;28/02/2019 19:18;;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;TRUE;;eng;;0;0;0;black dago;black dagoes;;01/03/2019 20:58;black dagos;JUpgYbNiw,,,,,,,,,,
0;28/02/2019 19:21;;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;;eng;;17;0;2;;border baby;;01/03/2019 20:58;anchor baby;qc6VTyKxJ,,,,,,,,,,
0;28/02/2019 19:22;;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;;eng;;9;0;2;border baby;border babies;;01/03/2019 20:57;anchor baby;ND9gokkqL,,,,,,,,,,
0;28/02/2019 19:34;;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;GB;eng;;11;0;2;chavette;chavettes;;01/03/2019 20:57;;N7D7ZBmeB,,,,,,,,,,
0;28/02/2019 19:34;;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;GB;eng;;37;0;12;;chavette;;01/03/2019 20:57;chav;f4wjiksdW,,,,,,,,,,
0;28/02/2019 19:31;;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;;eng;;0;0;0;carrot snap;carrot snaps;;01/03/2019 20:56;carrot snapper;DbxPCDJoK,,,,,,,,,,
0;28/02/2019 19:30;;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;;eng;;1;0;0;;carrot snap;;01/03/2019 20:56;carrot snapper;YutMzKTwZ,,,,,,,,,,
0;28/02/2019 19:24;;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;0;0;0;buckrette;buckrettes;;01/03/2019 20:55;;WZabEhgYL,,,,,,,,,,
0;28/02/2019 19:23;;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;1;0;1;;buckrette;;01/03/2019 20:55;buckra;E4LfYgXeg,,,,,,,,,,
0;28/02/2019 20:37;;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;0;0;0;gingie;gingies;;28/02/2019 20:37;ginger;fBWtKgiEX,,,,,,,,,,
0;28/02/2019 20:36;;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;0;0;0;;gingie;;28/02/2019 20:36;ginger;Q2tbsdhPz,,,,,,,,,,
25;28/02/2019 20:36;;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;0;0;0;;gingy;;28/02/2019 20:36;ginger;fpg9WFZLN,,,,,,,,,,
0;28/02/2019 20:08;;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;;eng;;0;0;0;;gasher;;28/02/2019 20:08;gash;UwGWZrDVT,,,,,,,,,,
50;28/02/2019 20:05;;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;;eng;;0;0;0;;fruity;;28/02/2019 20:05;fruit;NjwZvryCG,,,,,,,,,,
75;28/02/2019 19:41;;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;;eng;;0;0;0;;cunter;;28/02/2019 19:41;cunt;C7AcMFUyz,,,,,,,,,,
0;28/02/2019 19:36;;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;0;0;0;chimp pack;chimp packs;;28/02/2019 19:36;;WRAqbbcK4,,,,,,,,,,
0;28/02/2019 19:33;;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;;eng;;0;0;0;;Charly;;28/02/2019 19:33;Charlie;FmtFNCJFK,,,,,,,,,,
0;28/02/2019 19:32;;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;;eng;;0;0;0;Charlie;Charlies;;28/02/2019 19:32;;qmwtZfawx,,,,,,,,,,
0;28/02/2019 19:27;;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;0;0;0;;buffy;;28/02/2019 19:27;buffie;PRoaMj4sM,,,,,,,,,,
0;28/02/2019 19:26;;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;0;0;0;bucker;buckers;;28/02/2019 19:26;buck;2pErsBxGt,,,,,,,,,,
0;28/02/2019 19:25;;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;0;0;0;;bucker;;28/02/2019 19:25;buck;xpwZVhkGR,,,,,,,,,,
0;28/02/2019 19:17;;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;;eng;;0;0;0;;ban and can;;28/02/2019 19:17;bans and cans;KVHcyGTVw,,,,,,,,,,
0;28/02/2019 19:16;;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;;eng;;0;0;0;can and ban;cans and bans;;28/02/2019 19:16;;FeEMmgirV,,,,,,,,,,
0;28/02/2019 19:14;;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;;eng;;0;0;0;;can and ban;;28/02/2019 19:14;bans and cans;abvnbVDxj,,,,,,,,,,
25;28/02/2019 19:12;;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;0;0;0;Ann;Annies;;28/02/2019 19:12;;MoGHRBZwX,,,,,,,,,,
0;24/01/2019 16:09;;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;;eng;;0;0;0;cohee;cohees;;24/01/2019 16:09;;vvuwqanvi,,,,,,,,,,
0;24/01/2019 16:08;A Scottish or Irish settler in the United States;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;;eng;;0;0;0;;cohee;;24/01/2019 16:08;;j4xhxudpg,,,,,,,,,,
0;24/01/2019 16:06;A person from Alabama;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;;eng;;0;0;0;;yellowhammer;;24/01/2019 16:06;;nyye7wwqe,,,,,,,,,,
0;24/01/2019 16:00;;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;;eng;;0;0;0;Okie;Okies;;24/01/2019 16:00;;hNRKgjerp,,,,,,,,,,
0;24/01/2019 15:59;[1] A person from Oklahoma [2] A rural person, from the migration of Oklahomans during the 1930s Dustbowl;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;;eng;;0;0;0;;Okie;;24/01/2019 15:59;;ZNTDPRjvD,,,,,,,,,
0;24/01/2019 15:57;;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;;eng;;159;0;36;Masshole;Massholes;;24/01/2019 15:57;;npyrTfKaw,,,,,,,,,,
0;24/01/2019 15:56;A person from Massachusetts;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;;eng;;133;0;36;;Masshole;;24/01/2019 15:57;;easBozhuh,,,,,,,,,,
75;24/01/2019 15:55;[1] A person from the Indian city of Chennai [2] A person from southern India.;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;;eng;;0;0;0;;Madrasi;;24/01/2019 15:55;;PRQWAHxUe,,,,,,,,,,
0;24/01/2019 15:53;;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;;eng;;0;0;0;JAFA;JAFAs;;24/01/2019 15:53;;9fysCsBWP,,,,,,,,,,
"0;24/01/2019 15:52;""Acronym for """"Just Another Fucking Australian"""""";FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;;eng;;0;0;0;;JAFA;;24/01/2019 15:52;;CkBFnCoZx",,,,,,,,,,
0;24/01/2019 15:51;;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;;eng;;0;0;0;jackeen;jackeens;;24/01/2019 15:51;;FmdKTBiyo,,,,,,,,,,
0;24/01/2019 15:50;Rural slur for a person from Dublin;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;;eng;;114;0;24;;jackeen;;24/01/2019 15:50;;xmheQaudY,,,,,,,,,,
0;24/01/2019 15:48;;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;;eng;;223;0;58;culchie;culchies;;24/01/2019 15:48;;TqWUqXsCF,,,,,,,,,,
0;24/01/2019 15:47;A rural Irish person;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;;eng;;163;0;43;;culchie;;24/01/2019 15:47;;oXWBCRvfW,,,,,,,,,,
0;24/01/2019 15:46;;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;AU;eng;;15;0;2;croweater;croweaters;;24/01/2019 15:46;;pkRaWwUzb,,,,,,,,,,
0;24/01/2019 15:45;A person from the state of South Australia;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;AU;eng;;12;0;1;;croweater;;24/01/2019 15:45;;vpZEbjrmh,,,,,,,,,,
50;24/01/2019 15:34;;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;;eng;;0;0;0;Bihari;Biharis;;24/01/2019 15:34;;WnnewQkdh,,,,,,,,,,
50;24/01/2019 15:32;Derogatorily used in South India for a North Indian;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;;eng;A person from Bihar;0;0;0;;Bihari;;24/01/2019 15:32;;s1cfZCTJr,,,,,,,,,,
0;24/01/2019 15:10;;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;1;0;0;hatzi;hatzis;;24/01/2019 15:10;;DeBQNbMHH,,,,,,,,,,
0;24/01/2019 15:09;;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;1;0;0;;hatzi;;24/01/2019 15:09;haji;whtfctCFs,,,,,,,,,,
0;24/01/2019 15:08;;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;48;0;11;hajji;hajjis;;24/01/2019 15:08;;LTAzfP2ZT,,,,,,,,,,
0;24/01/2019 15:07;;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;38;0;11;haji;hajis;;24/01/2019 15:07;;TpithHQKL,,,,,,,,,,
0;24/01/2019 15:06;;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;34;0;3;hadji;hadjis;;24/01/2019 15:07;;swXxPzyJq,,,,,,,,,,
76;08/05/2013 03:02;;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;71;0;4;;hajji;;24/01/2019 15:05;haji;BcdX3rQYE,,,,,,,,,,
76;12/02/2014 16:28;Used to refer to Iraqis, Arabs, Afghans, or Middle Eastern and South Asian people in general. Derived from the honorific Al-Hajji, the title given to a Muslim who has completed the Hajj (pilgrimage to Mecca).;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;55;0;3;;haji;;24/01/2019 15:05;;M9NTeZuCa,,,,,,
75;08/05/2013 12:41;;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;93;0;1;;hadji;;24/01/2019 15:05;haji;PT8W6CjmH,,,,,,,,,,
0;24/01/2019 15:04;;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;;eng;;204;0;47;mussie;mussies;;24/01/2019 15:04;;agzBvasbJ,,,,,,,,,,
0;24/01/2019 15:02;A Muslim;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;;eng;;79;0;23;;mussie;;24/01/2019 15:02;;Z1BQFReLG,,,,,,,,,,
0;24/01/2019 15:00;;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;;eng;;114;0;39;Fenian;Fenians;;24/01/2019 15:00;;FXkPrPkRj,,,,,,,,,,
0;24/01/2019 14:59;In Northern Ireland, denotes a Catholic or Irish nationalist;FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;;eng;A member of one or more fraternal organisations committed to an independent Ireland in the 19th and early 20th centuries;148;0;25;;Fenian;;24/01/2019 15:00;;FnWK3Hziv,,,,,,,,,
0;14/01/2019 20:51;;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;0;0;0;;da goyim know;;14/01/2019 20:51;the goyim know;kEuUcmvbC,,,,,,,,,,
0;14/01/2019 20:50;Meme implying a supposed global Jewish conspiracy;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;35;0;3;;the goyim know;;14/01/2019 20:50;;rsCFZrmMr,,,,,,,,,,
0;14/01/2019 20:44;A non-Jewish person who disbelieves in a global Jewish conspiracy;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;85;1;25;;good goy;;14/01/2019 20:45;;NyRxQVAQB,,,,,,,,,,
86;07/01/2019 18:24;;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;0;0;0;jigro;jigros;;14/01/2019 16:16;;hUGuB6Xym,,,,,,,,,,
0;09/01/2019 19:01;;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;;eng;;0;0;0;pickinniny;pickinninys;;09/01/2019 19:01;;vsnYRahpZ,,,,,,,,,,
0;09/01/2019 18:59;;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;;eng;;8;0;2;piccaninny;piccaninnys;;09/01/2019 18:59;;RJWjxxNtL,,,,,,,,,,
0;09/01/2019 18:59;;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;;eng;;121;0;42;piccaninny;piccaninnies;;09/01/2019 18:59;;xUMRLtwiv,,,,,,,,,,
100;09/01/2019 18:57;;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;;eng;;3;0;0;;picaninnys;;09/01/2019 18:57;picaninnies;qfapWDnww,,,,,,,,,,
100;09/01/2019 18:55;;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;;eng;;382;1;42;;pickaninnies;;09/01/2019 18:56;pickaninnys;oDwcfmbdk,,,,,,,,,,
0;09/01/2019 18:54;;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;;eng;;13;0;3;pickinniny;pickinninies;;09/01/2019 18:54;;EntJtHM6F,,,,,,,,,,
0;09/01/2019 18:53;;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;;eng;;7;0;1;;pickinniny;;09/01/2019 18:53;picaninny;isCycKTmX,,,,,,,,,,
0;09/01/2019 18:52;;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;;eng;;117;0;32;;piccaninny;;09/01/2019 18:52;picaninny;KGhbbRVqZ,,,,,,,,,,
0;09/01/2019 18:51;;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;;eng;;233;0;54;pickaninny;picaninnies;;09/01/2019 18:52;;BUZsxDtj7,,,,,,,,,,
0;09/01/2019 18:50;A black child;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;;eng;;204;0;32;;picaninny;;09/01/2019 18:50;;yVvMWnYnL,,,,,,,,,,
"82;15/11/2018 06:51;""Turns the term """"Zionist"""" (a supporter of Jewish national liberation) into a slur against Jews."";FALSE;FALSE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;;eng;;18;0;6;;Zio;;09/01/2019 18:26;;VbCXVGynj",,,,,,,,,,
86;22/06/2013 01:20;[1] An inconsequential person (typically lower class). [2] A Gypsy. [3] In Scotland, a member of the native community previously itinerant (but mainly now settled) who were reputed for their production of domestic implements from basic materials and for repair of the same items, being also known in the past as 'travelling tinsmiths'. The slur is possibly derived from a reputation for rowdy and alcoholic recreation. Often wrongly confused with Gypsy/Romany people.;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;9;0;2;;tynker;;09/01/2019 18:25;tinker;3cKvv7QHa,,,,,,,,
52;22/06/2013 06:40;Used by poor rural people to denote those of lower status than themselves, particularly those who commit incest (jumping the family tree).;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;25;0;5;;tree jumper;;09/01/2019 18:24;stump jumper;7tkEx2wqZ,,,,,,,,,
56;05/05/2013 16:07;[1] An inconsequential person (typically lower class). [2] A Gypsy. [3] In Scotland, a member of the native community previously itinerant (but mainly now settled) who were reputed for their production of domestic implements from basic materials and for repair of the same items, being also known in the past as 'travelling tinsmiths'. The slur is possibly derived from a reputation for rowdy and alcoholic recreation. Often wrongly confused with Gypsy/Romany people.;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;0;0;0;;tinkar;;09/01/2019 18:22;tinker;6n3vjFpaJ,,,,,,,,
86;06/05/2013 20:08;[1] An inconsequential person (typically lower class). [2] A Gypsy. [3] In Scotland, a member of the native community previously itinerant (but mainly now settled) who were reputed for their production of domestic implements from basic materials and for repair of the same items, being also known in the past as 'travelling tinsmiths'. The slur is possibly derived from a reputation for rowdy and alcoholic recreation. Often wrongly confused with Gypsy/Romany people.;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;1;0;0;;tinkere;;09/01/2019 18:15;tinker;MHyq4TTfX,,,,,,,,
93;06/05/2013 20:08;[1] An inconsequential person (typically lower class). [2] A Gypsy. [3] In Scotland, a member of the native community previously itinerant (but mainly now settled) who were reputed for their production of domestic implements from basic materials and for repair of the same items, being also known in the past as 'travelling tinsmiths'. The slur is possibly derived from a reputation for rowdy and alcoholic recreation. Often wrongly confused with Gypsy/Romany people.;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;;eng;;1;0;0;;tincker;;09/01/2019 18:15;tinker;bJ8V7AH7D,,,,,,,,
